U81;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
800100;Head of State;Maurice Yaméogo;1944;1964;1964;SD;Die-hard Reformer;Very High;uppervolta1;x
800101;Head of State;Naaba Koom II;1934;1964;1964;SC;Benevolent Gentleman;Very High;unknown;x
800102;Head of Government;Naaba Tigre;1934;1964;1964;PA;Silent Workhorse;Very High;uppervolta5;x
800103;Head of Government;Maurice Yaméogo;1944;1964;1964;SD;Silent Workhorse;Very High;uppervolta1;x
800104;Head of Government;Daniel Ouezzin Coulibaly;1939;1964;1964;LWR;Naive Optimist;Very High;uppervolta2;x
800105;Foreign Minister;Albéric Fournier;1934;1964;1964;SL;Apologetic Clerk;Very High;unknown;x
800106;Foreign Minister;Lompolo Koné;1945;1964;1964;SD;The Cloak N Dagger Schemer;Very High;unknown;x
800107;Foreign Minister;Maurice Yaméogo;1944;1964;1964;SD;Iron Fisted Brute;Very High;uppervolta1;x
800108;Foreign Minister;Nazi Boni;1944;1964;1964;LE;Ideological Crusader;Very High;unknown;x
800109;Minister of Armament;Serge Ravanel ;1944;1964;1964;SL;Military Entrepreneur;Very High;L24129;x
800110;Minister of Armament;Naaba Koom II;1934;1964;1964;SC;Administrative Genius;Very High;unknown;x
800111;Minister of Security;Naaba Yamba Sorgo;1934;1964;1964;PA;Prince of Terror;Very High;unknown;x
800112;Minister of Security;Daniel Ouezzin Coulibaly;1939;1964;1964;LWR;Compassionate Gentleman;Very High;uppervolta2;x
800113;Minister of Security;Paul Zoungrana;1942;1964;1964;SD;Man of the People;Very High;unknown;x
800114;Minister of Security;Joseph Conombo;1948;1964;1964;LWR;Compassionate Gentleman;Very High;unknown;x
800115;Head of Military Intelligence;Daniel Ouezzin Coulibaly;1939;1964;1964;LWR;Logistics Specialist;Very High;uppervolta2;x
800116;Head of Military Intelligence;Naaba Yamba Sorgo;1934;1964;1964;PA;Logistics Specialist;Very High;unknown;x
800117;Chief of Staff;Serge Ravanel ;1944;1964;1964;ML;School of Defence;Very High;L24129;x
800118;Chief of Staff;Sangoulé Lamizana;1943;1964;1964;SL;School of Defence;Very High;unknown;x
800119;Chief of Army;Sangoulé Lamizana;1943;1964;1964;SL;Elastic Defence Doctrine;Very High;unknown;x
800120;Chief of Army;Serge Ravanel ;1944;1964;1964;ML;Decisive Battle Doctrine;Very High;L24129;x
800121;Chief of Navy;Philippe Tailliez;1939;1964;1964;ML;Open Seas Doctrine;Very High;uppervolta6;x
800122;Chief of Air Force;Pierre Clostermann;1944;1964;1964;ML;Air Superiority Doctrine;Very High;uppervolta3;x
800123;Head of State;Gaston Mourgues;1936;1964;1964;ML;Weary Stiffneck;Very High;M800123;x
800124;Head of Government;Gaston Mourgues;1936;1964;1964;ML;Flamboyant Tough Guy;Very High;M800123;x
800125;Head of State;Albert Mouragues;1948;1964;1964;ML;Barking Buffoon;Very High;M800125;x
800126;Head of Government;Albert Mouragues;1948;1964;1964;ML;Political Protege;Very High;M800125;x
800127;Head of State;Salvador Jean Étcheber;1953;1964;1964;ML;Benevolent Gentleman;Very High;M800127;x
800128;Head of Government;Salvador Jean Étcheber;1953;1964;1964;ML;Old Admiral;Very High;M800127;x
800129;Head of State;Yvon Bourges;1957;1964;1964;ML;Resigned Generalissimo;Very High;M800129;x
800130;Head of State;Max Berthet;1958;1964;1964;ML;Popular Figurehead;Very High;M800130;x
800131;Head of State;Paul Masson;1959;1964;1964;ML;Stern Imperialist;Very High;M800131;x
800132;Head of State;Sangoulé Lamizana;1966;2006;2006;ML;Autocratic Charmer;Very High;M800132;x
800133;Head of Government;Sangoulé Lamizana;1966;2006;2006;ML;Corporate Suit;Very High;M800132;x
800134;Head of Government;Gérard Kango Ouédraogo;1971;2015;2015;ML;Corporate Suit;Very High;M800134;x
800135;Head of Government;Joseph Conombo;1978;2009;2009;ML;Corporate Suit;Very High;M800135;x
800136;Head of State;Saye Zerbo;1980;2014;2014;ML;Autocratic Charmer;Very High;M800136;x
800137;Head of Government;Saye Zerbo;1980;2014;2014;ML;Backroom Backstabber;Very High;M800136;x
800138;Head of State;Jean-Baptiste Ouédraogo;1982;2020;2020;ML;Popular Figurehead;Very High;M800138;x
800139;Head of Government;Jean-Baptiste Ouédraogo;1982;2020;2020;ML;Old General;Very High;M800138;x
800140;Head of State;Thomas Sankara;1983;1988;2020;LWR;Stern Imperialist;Very High;M800140;x
800141;Head of Government;Thomas Sankara;1983;1988;2020;LWR;Political Protege;Very High;M800140;x
800142;Head of State;Blaise Compaoré;1987;2020;2020;PA;Resigned Generalissimo;Very High;M800142;x
800143;Head of Government;Blaise Compaoré;1987;2020;2020;PA;Happy Amateur;Very High;M800142;x
