U27;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
950001;Chief of Air Force;Josip Broz;1933;1964;1999;LWR;Army Aviation Doctrine;Medium;M20028;X
950002;Head of State;Josip Broz;1933;1981;1981;LWR;Powerhungry Demagogue;High;M20021;X
950003;Head of Government;Josip Broz;1933;1964;1999;LWR;Backroom Backstabber;High;M20021;X
950004;Foreign Minister;Stanoje Simic;1933;1964;1999;LWR;Great Compromiser;Medium;M20023;X
950005;Minister of Armament;Milentije Popovic;1933;1964;1999;LWR;Resource Industrialist;High;M20024;X
950006;Head of Military Intelligence;Aleksandar Rankovic;1933;1964;1999;SD;Dismal Enigma;High;M20026;X
950007;Chief of Staff;Arsa Jovanovic;1933;1964;1999;LWR;School of Mass Combat;Medium;M20075;X
950008;Chief of Air Force;Ivan Ribar;1933;1964;1999;LWR;Air Superiority Doctrine;High;M20093;X
950009;Chief of Staff;Koca Popovic;1933;1964;1999;LWR;School of Mass Combat;High;M20025;X
950010;Chief of Army;Josip Broz;1933;1964;1999;LWR;Armoured Spearhead Doctrine;High;M20028;X
950011;Chief of Navy;Josip Broz;1933;1964;1999;LWR;Indirect Approach Doctrine;High;M20029;X
950012;Foreign Minister;Koca Popovic;1953;1964;1999;LWR;The Cloak N Dagger Schemer;Very High;M20025;X
950013;Minister of Armament;Ivan Gosnjak;1953;1964;1999;LWR;Infantry Proponent;High;M20104;X
950014;Minister of Security;Vladimir Simic;1933;1964;1999;LWR;Compassionate Gentleman;Medium;M20105;X
950015;Head of Military Intelligence;Milovan Djilas;1953;1964;1999;SD;Political Specialist;High;M20106;X
950016;Minister of Security;Aleksandar Rankovic;1933;1964;1999;SD;Secret police chief;High;M20026;X
950100;Head of State;Ivan Ribar;1944;1969;1969;LE;Barking Buffoon;High;M20093;X
950101;Foreign Minister;Ivan Subasic;1944;1964;1964;SD;Great Compromiser;High;M950101;X
950102;Head of Government;Petar Stambolic;1963;2008;2008;LE;Silent Workhorse;High;M950102;X
950103;Head of Government;Mika Spiljak;1967;2008;2008;LE;Old Airmarshal;High;M950103;X
950104;Head of Government;Mitja Ribicic;1969;2014;2014;LE;Happy Amateur;High;M950104;X
950105;Head of Government;Dzemal Bijedic;1971;1978;1978;LE;Backroom Backstabber;High;M950105;X
950106;Head of Government;Veselin Duranovic;1977;1998;1998;LE;Corporate Suit;High;M950106;X
950107;Head of State;Lazar Mojsov;1980;2012;2012;LE;Popular Figurehead;High;M950107;X
950108;Head of State;Dusan Dragosavac;1981;2020;2020;LE;Popular Figurehead;High;M950108;X
950109;Head of State;Mitja Ribicic;1982;2014;2014;LE;Insignificant Layman;High;M950104;X
950110;Head of Government;Milka Planinc;1982;2011;2011;LE;Old General;High;M950110;X
950111;Head of State;Dragoslav Markovic;1983;2007;2007;LE;Barking Buffoon;High;M950111;X
950112;Head of State;Ali Shukriu;1984;2020;2020;LE;Popular Figurehead;High;M950112;X
950113;Head of State;Vidoje Zarkovic;1985;2001;2001;LE;Barking Buffoon;High;M950113;X
950114;Head of State;Milanko Renovica;1986;2014;2014;LE;Pig-headed Isolationist;High;M950114;X
950115;Head of Government;Branko Mikulic;1986;1995;1995;LE;Smiling Oilman;High;M950115;X
950116;Head of State;Bosko Krunic;1987;1995;1995;LE;Die-hard Reformer;High;M950116;X
950117;Head of State;Stipe Suvar;1988;2005;2005;LE;Weary Stiffneck;High;M950117;X
950118;Head of State;Milan Pancevski;1989;2020;2020;LE;Weary Stiffneck;High;M950118;X
950119;Head of Government;Ante Markovic;1989;2012;2012;LE;Old General;High;M950119;X
950120;Head of State;Aleksandar Rankovic;1933;1985;1985;LWR;Barking Buffoon;High;M20026;X
950121;Head of Government;Aleksandar Rankovic;1933;1985;1985;LWR;Backroom Backstabber;High;M20026;X
950122;Head of State;Josip Broz;1964;1981;1981;LWR;Powerhungry Demagogue;High;M950122;X
950123;Foreign Minister;Edvard Kardelj;1948;1979;1979;LE;General Staffer;High;M950123;X
950124;Foreign Minister;Marko Nikezic;1964;1969;1969;LE;Apologetic Clerk;Medium;M950124;X
950125;Foreign Minister;Mirko Tepavac;1969;2014;2014;ST;Iron Fisted Brute;High;M950125;X
950126;Foreign Minister;Milos Minic;1972;2003;2003;LE;Great Compromiser;High;M950126;X
950127;Foreign Minister;Josip Vrhovec;1978;2006;2006;LE;Ideological Crusader;High;M950127;X
950128;Foreign Minister;Lazar Mojsov;1982;2011;2011;LE;Biased Intellectual;High;M950128;X
950129;Foreign Minister;Raif Dizdarevic;1984;2020;2020;LE;The Cloak N Dagger Schemer;Very High;YUG3;X
950130;Foreign Minister;Budimir Loncar;1987;2020;2020;LE;Iron Fisted Brute;High;M950130;X
950131;Minister of Armament;Nikola Ljubicic;1967;2005;2005;LE;Administrative Genius;Very High;M950131;X
950132;Minister of Armament;Branko Mamula;1980;2020;2020;LE;Submarine Proponent;Very High;M950132;X
950133;Minister of Armament;Veljko Kadijevic;1988;2014;2014;ST;Military Entrepreneur;Very High;YUG5;X
950134;Minister of Security;Svetislav Stefanovic;1953;1980;1980;LE;Silent Lawyer;Very High;M950134;X
950135;Minister of Security;Vojin Lukic;1963;1997;1997;LE;Man of the People;Very High;M950135;X
950136;Minister of Security;Milan Miskovic;1965;1978;1978;ST;Back Stabber;Medium;M950136;X
950137;Minister of Security;Radovan Stijacic;1967;1989;1989;LWR;Crime Fighter;Medium;Unknown;X
950138;Minister of Security;Dzemal Bijedic;1971;1972;1972;LE;Media Magnate;Very High;M950105;X
950139;Minister of Security;Luka Banovic;1971;2006;2006;ST;Efficient Sociopath;Very High;Unknown;X
950140;Minister of Security;Franjo Herljevic;1974;1998;1998;LE;Prince of Terror;Very High;M950140;X
950141;Minister of Security;Stane Dolanc;1982;2000;2000;ST;Efficient Sociopath;Very High;M950141;X
950142;Minister of Security;Dobroslav Culafic;1936;2011;2011;LE;Back Stabber;Very High;M950142;X
950143;Minister of Security;Petar Gracanin;1989;2004;2004;LE;Prince of Terror;Very High;YUG7;X
950144;Head of Military Intelligence;Svetislav Stefanovic;1953;1980;1980;LE;Political Specialist;Very High;M950134;X
950145;Head of Military Intelligence;Vojin Lukic;1963;1997;1997;LE;Political Specialist;Very High;M950135;X
950146;Head of Military Intelligence;Milan Miskovic;1965;1978;1978;ST;Dismal Enigma;Medium;M950136;X
950147;Head of Military Intelligence;Radovan Stijacic;1967;1989;1989;LWR;Dismal Enigma;Medium;Unknown;X
950148;Head of Military Intelligence;Luka Banovic;1971;2006;2006;ST;Political Specialist;Very High;Unknown;X
950149;Head of Military Intelligence;Franjo Herljevic;1974;1998;1998;LE;Dismal Enigma;Very High;M950140;X
950150;Head of Military Intelligence;Stane Dolanc;1982;2000;2000;ST;Political Specialist;Very High;M950141;X
950151;Head of Military Intelligence;Dobroslav Culafic;1936;2011;2011;LE;Technical Specialist;Very High;M950142;X
950152;Head of Military Intelligence;Petar Gracanin;1989;2004;2004;LE;Logistics Specialist;Very High;YUG7;X
950153;Chief of Staff;Peko Dapcevic;1953;1999;1999;ST;School of Manoeuvre;High;M950153;X
950154;Chief of Staff;Ljubo Vuckovic;1955;1976;1976;LWR;School of Psychology;High;M950154;X
950155;Chief of Staff;Rade Hamovic;1961;2009;2009;LE;School of Defence;High;M950155;X
950156;Chief of Staff;Milos Sumonja;1967;2006;2006;LE;School of Psychology;Very High;M950156;X
950157;Chief of Staff;Viktor Bubanj;1970;1973;1973;LWR;School of Psychology;High;M950157;X
950158;Chief of Staff;Stane Potocar;1973;1997;1997;LE;School of Mass Combat;Very High;M950158;X
950159;Chief of Staff;Branko Mamula;1979;2020;2020;LE;School of Fire Support;Very High;M950132;X
950160;Chief of Staff;Petar Gracanin;1982;2004;2004;LE;School of Defence;Very High;YUG7;X
950161;Chief of Staff;Zorko Canadi;1985;2003;2003;LE;School of Psychology;High;M950161;X
950166;Chief of Army;Nikola Ljubicic;1967;2005;2005;LE;Decisive Battle Doctrine;Very High;M950131;X
950167;Chief of Army;Branko Mamula;1979;2020;2020;LE;Decisive Battle Doctrine;Very High;M950132;X
950170;Chief of Navy;Ivan Gosnjak;1953;1964;1999;LWR;Power Projection Doctrine;Very High;M20104;X
950171;Chief of Navy;Nikola Ljubicic;1967;2005;2005;LE;Indirect Approach Doctrine;Very High;M950131;X
950174;Chief of Navy;Blagoje Adzic;1989;2012;2012;LE;Indirect Approach Doctrine;Very High;M950163;X
950175;Chief of Air Force;Ivan Gosnjak;1953;1964;1999;LWR;Air Superiority Doctrine;Very High;M20104;X
950178;Chief of Air Force;Veljko Kadijevic;1988;2014;2014;ST;Carpet Bombing Doctrine;Very High;YUG5;X
950179;Chief of Air Force;Blagoje Adzic;1989;2012;2012;LE;Army Aviation Doctrine;Very High;M950163;X
950177;Chief of Air Force;Branko Mamula;1979;2020;2020;LE;Vertical Envelopment Doctrine;Very High;M950132;X
950176;Chief of Air Force;Nikola Ljubicic;1967;2005;2005;LE;Air Superiority Doctrine;Very High;M950131;X
950173;Chief of Navy;Veljko Kadijevic;1988;2014;2014;ST;Open Seas Doctrine;Very High;YUG5;X
950172;Chief of Navy;Branko Mamula;1979;2020;2020;LE;Open Seas Doctrine;Very High;M950132;X
950169;Chief of Army;Blagoje Adzic;1989;2012;2012;LE;Armoured Spearhead Doctrine;Very High;M950163;X
950168;Chief of Army;Veljko Kadijevic;1988;2014;2014;ST;Guns and Butter Doctrine;Very High;YUG5;X
950165;Chief of Army;Ivan Gosnjak;1953;1964;1999;LWR;Static Defence Doctrine;Very High;M20104;X
950162;Chief of Staff;Stevan Mirkovic;1987;2015;2015;LWR;School of Fire Support;High;M950162;X
950163;Chief of Staff;Blagoje Adzic;1989;2012;2012;LE;School of Mass Combat;Very High;M950163;X
950164;Chief of Staff;Zivota Panic;1992;2003;2003;LWR;School of Psychology;Medium;M950164;X
