U15;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
890001;Head of State;Raul Brandao;1933;1964;1999;LWR;Insignificant Layman;High;M9004;X
890002;Head of Government;Jaime Cortesão;1933;1964;1999;LWR;Smiling Oilman;High;M9012;X
890003;Minister of Security;Raul Proenca;1933;1964;1999;LWR;Back Stabber;Low;M9015;X
890004;Chief of Staff;Raul Brandao;1933;1964;1999;LWR;School of Defence;Medium;M9004;X
890005;Chief of Army;Humberto Carmona;1933;1964;1999;LWR;Static Defence Doctrine;Low;M9018;X
890006;Chief of Navy;José Sarmento Pimentel;1933;1964;1999;LWR;Base Control Doctrine;High;M9019;X
890007;Chief of Air Force;J.M. Sarmento Beires;1933;1964;1999;LWR;Naval Aviation Doctrine;High;M9020;X
890008;Head of State;Bento Gonçalves;1933;1964;1999;ST;Weary Stiffneck;High;M9031;X
890009;Head of Government;Bento Gonçalves;1933;1964;1999;ST;Happy Amateur;High;M9031;X
890010;Foreign Minister;H. Barrilao Ruas;1933;1964;1999;LE;Ideological Crusader;Very Low;M9033;X
890011;Minister of Security;Álvaro Cunhal;1933;1964;1999;ST;Man of the People;High;M9035;X
890012;Head of Military Intelligence;Antonio Sergo;1933;1964;1999;LE;Industrial Specialist;Medium;M9036;X
890013;Chief of Staff;Jose A.P. Rebelo;1933;1964;1999;ST;School of Psychology;Very High;M9037;X
890014;Chief of Army;Jose A.P. Rebelo;1933;1964;1999;LE;Guns and Butter Doctrine;Very High;M9037;X
890015;Chief of Navy;Bento Gonçalves;1933;1964;1999;ST;Power Projection Doctrine;Very High;M9031;X
890016;Chief of Air Force;Antonio Sergo;1933;1964;1999;LE;Carpet Bombing Doctrine;Medium;M9036;X
890017;Foreign Minister;Rui Ulrich;1933;1964;1999;LWR;Great Compromiser;Medium;M9023;X
890018;Foreign Minister;Francisco Cunha Leal;1933;1964;1999;LWR;The Cloak N Dagger Schemer;Low;M9013;X
890019;Minister of Armament;Jaime Cortesão;1933;1964;1999;LWR;Tank Proponent;Very Low;M9012;X
890020;Minister of Armament;F.Salgado Zenha;1933;1964;1999;ST;Military Entrepreneur;Low;M9034;X
890021;Chief of Army;J.M. Norton Matos;1933;1964;1999;LWR;Static Defence Doctrine;Very Low;M9072;X
890022;Chief of Air Force;Humberto Delgado;1933;1964;1999;LWR;Air Superiority Doctrine;Medium;M9079;X
890023;Head of State;Álvaro Cunhal;1961;2005;2006;ST;Ruthless Powermonger;High;U15_1;X
890024;Head of Government;Álvaro Cunhal;1961;2005;2006;ST;Local Tyrant;High;U15_1;X
890025;Foreign Minister;António Rosa Coutinho;1975;2010;2011;ST;General Staffer;Very High;U15_2;X
890026;Minister of Armament;Vasco Goncalves;1974;2006;2006;LE;Infantry Proponent;Very High;M20203;X
890027;Minister of Security;Committee for State Security;1936;1999;1999;ST;Efficient Sociopath;Very High;M_KGB;X
890028;Head of Military Intelligence;Main Intelligence Directorate;1936;1999;1999;ST;Political Specialist;Very High;M_GRU;X
890029;Chief of Staff;António Rosa Coutinho;1975;2010;2011;ST;School of Mass Combat;Very High;U15_2;X
890030;Chief of Army;Otelo Saraiva de Carvalho;1975;2020;2020;LE;Commando Doctrine Army;Very High;U15_3;X
890031;Chief of Navy;António Rosa Coutinho;1975;2010;2011;ST;Base Control Doctrine;Very High;U15_2;X
890032;Chief of Air Force;Otelo Saraiva de Carvalho;1975;2020;2020;LE;Army Aviation Doctrine;Very High;U15_3;X
