Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Commander;66700;UTO;1936;1936;1936;1936;3;7;0;2;0;5;2;unknown;1936;1999;x
Commander;66701;UTO;1936;1936;1936;1936;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;66702;UTO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;66703;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66704;UTO;1936;1936;1936;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66705;UTO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66706;UTO;1936;1936;1990;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
Commander;66707;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66708;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66709;UTO;1936;1990;1990;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;66710;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66711;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66712;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66713;UTO;1936;1990;1990;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;66714;UTO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;66715;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66716;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66717;UTO;1936;1936;1936;1936;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;66718;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66719;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66720;UTO;1936;1990;1990;1990;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;66721;UTO;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66722;UTO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66723;UTO;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;66724;UTO;1936;1936;1936;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
